Name,Typ,land,Branche,Stage,Linkedin,Twitter
list d-pad-small'> <a href='/funds/golden-gate-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Golden Gate Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/gradient-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Gradient Ventures,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/graphene-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Graphene Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/great-oaks-venture-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Great Oaks Venture Capital,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/greenspring-associates' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Greenspring Associates,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/greycroft-partners' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Greycroft Partners,VC - Medium-Sized Fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/greylock-partners' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Greylock Partners,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/grok-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Grok Ventures,VC - Medium-Sized Fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/groundwork-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Groundwork Capital,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/growth-path-investments' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Growth Path Investments,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/guinness-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Guinness Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/halogen-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Halogen Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/heartcore-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Heartcore Capital,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/high-alpha-2' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>High Alpha,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/highland-capital-partners' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Highland Capital Partners,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/hillhouse-capital-group' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Hillhouse Capital Group,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/horizons-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Horizons Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/hummingbird-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Hummingbird Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/icehouse-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Icehouse Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/iconiq-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Iconiq Capital,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/ilona-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Ilona Capital,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/impact-enterprise-fund-nz' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Impact Enterprise Fund NZ,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/impacta-vc' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Impacta VC,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/index-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Index Ventures,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/innovation-endeavors' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Innovation Endeavors,VC - Medium-Sized Fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/insight-venture-partners' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Insight Venture Partners,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/insignia-ventures-partners' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Insignia Ventures Partners,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/institutional-venture-partners' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Institutional Venture Partners,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/intel-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Intel Capital,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/inventive-invest' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Inventive invest,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/investec-emerging-companies' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Investec Emerging Companies,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/investible-2' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Investible,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/iq-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>IQ Capital,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/jane-vc' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Jane VC,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/javelin-venture-partners' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Javelin Venture Partners,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/jelix' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Jelix,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/jerusalem-venture-partners' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Jerusalem Venture Partners,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/jgreen' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Palm oil production,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/k2-global-' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>K2 Global,VC - Medium-Sized Fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/kadan-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Kadan Capital,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/kadima-group' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Kadima Group,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/kaiser-permanente-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Kaiser Permanente Ventures,VC - Medium-Sized Fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/kapor-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Kapor Capital,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/khosla-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Khosla Ventures,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/kinetic-investments' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Kinetic Investments,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/king-river-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>King River Capital,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/kishmish-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Kishmish Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/kleiner-perkins-caufield-byers' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Kleiner Perkins Caufield Byers,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/ktm-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>KTM Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/lavrock-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Lavrock Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/lederer-group' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Lederer Group,VC - Medium-Sized Fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/lerer-hippeau' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Lerer Hippeau,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/life.sreda-vc' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Life.SREDA VC,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/lighthouse-canton' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Lighthouse Canton,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/lightspeed-venture-partners' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Lightspeed Venture Partners,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/localglobe' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>LocalGlobe,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/lumia-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Lumia Capital,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/lux-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Lux Capital,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/m-h-carnegie' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>M. H. Carnegie,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/macdoch-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Macdoch Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/mai-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Mai Capital,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/manutara-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Manutara Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/marbruck-investments' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Marbruck Investments,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/matrix-partners' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Matrix Partners,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/midori-capital-llc' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Midori Capital LLC,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/mmc-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>MMC Ventures,VC - Medium-Sized Fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/morpheus-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Morpheus Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/movac-nz' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Movac NZ,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/muuy' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Muuy,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/nab-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>NAB Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/new-enterprise-associates' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>New Enterprise Associates,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/new-leaf-venture-partners' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>New Leaf Venture Partners,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/new-lion-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>New Lion Capital,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/nextgen-funds-management' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>NextGen Funds Management,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/nextview-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>NextView Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/nexus-future-fund' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Nexus Future Fund,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/no-brand' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>No Brand,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/northzone' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Northzone,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/norwest-venture-partners' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Norwest Venture Partners,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/notion-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Notion Capital,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/nzvif-venture-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>NZVIF Venture Capital,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/octopus-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Octopus Ventures,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/oneventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>OneVentures,VC - Medium-Sized Fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/oriens-capital-nz' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Oriens Capital NZ,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/origin-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Origin Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/our-innovation-fund' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>OIF Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/ourcrowd' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>OurCrowd,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/pario-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>pario ventures,VC - Medium-Sized Fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/peakspan-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Peakspan Capital,VC - Medium-Sized Fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/perennial-partners' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Perennial Partners,VC - Medium-Sized Fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/perle-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Perle Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/pielab-venture-partners' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>PieLAB Venture Partners,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/preminent-investments' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Preminent Investments I,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/prisma-investment' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Prisma Investment,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/purpose-built-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Purpose Built Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/purpose-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Purpose Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/qualgro-vc' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Qualgro VC,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/quintessence-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Quintessence Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/rampersand' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Rampersand,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/raven-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Raven Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/reach-alternative-investments' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Reach Alternative Investments,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/real-tech-ventures-1' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Real Tech Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/recruit-strategic-partners' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Recruit Strategic Partners,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/redpoint-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Redpoint Ventures,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/reinventure-group' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Reinventure Group,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/renergy-power-sdn-bhd' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Renergy Power Sdn Bhd,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/ribbit-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Ribbit Capital,VC - Medium-Sized Fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/ridge-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Ridge Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/right-click-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Right Click Capital,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/rlc-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>RLC Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/romulus-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Romulus Capital,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/rre-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>RRE Ventures,VC - Medium-Sized Fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/sapien-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Sapien Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/sapphire-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Sapphire Ventures,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/save-the-children-impact-investment-fund' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Save the Children Impact Investment,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/scale-venture-partners' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Scale Venture Partners,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/seed-space-venture-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Seed Space Venture Capital,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/sequoia-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Sequoia Capital,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/sginnovate' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>SGInnovate,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/shearwater-growth-equity' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Shearwater Growth Equity,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/shpira-capital-advisors' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>SCA,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/significant-capital-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Significant Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/singtel-innov8' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Singtel Innov8,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/skip-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Skip Capital,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/snowball-effect' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Snowball Effect,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/sohi-partners' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>SoHi Partners,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/sosv' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>SOSV,VC - Medium-Sized Fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/southern-cross-venture-partners' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Southern Cross Venture Partners,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/spark-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Spark Capital,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/sparkbox-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Sparkbox Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/sprint-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Sprint Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/sprint-ventures-9' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Sprint Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/square-peg-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Square Peg Capital,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/stageone' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>StageOne,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
